file	size_bytes	status	baseline_min_ms	baseline_median_ms	baseline_mean_ms	baseline_max_ms	tested_min_ms	tested_median_ms	tested_mean_ms	tested_max_ms	ratio_baseline_over_tested	baseline_error	tested_error
cpython-3.8/Lib/distutils/tests/test_extension.py	2768	ok	18.175737	19.226792	19.536710	21.104007	0.413877	0.928195	0.828770	1.132305	20.714167		
cpython-3.8/Lib/distutils/tests/test_file_util.py	4413	ok	18.847728	19.664562	19.854492	21.110407	0.415019	0.567819	0.694473	1.088974	34.631757		
cpython-3.8/Lib/distutils/tests/test_filelist.py	11475	ok	19.139954	20.444700	20.696021	22.248288	0.596738	1.021655	0.932203	1.402368	20.011345		
cpython-3.8/Lib/distutils/tests/test_install.py	8535	ok	19.203097	20.695903	20.643018	22.334765	0.530228	0.666759	0.791048	1.164807	31.039550		
cpython-3.8/Lib/distutils/tests/test_install_data.py	2577	ok	19.132569	19.700708	19.682194	20.235727	0.381284	0.901286	0.823461	1.157158	21.858441		
cpython-3.8/Lib/distutils/tests/test_install_headers.py	1238	ok	17.752464	20.135719	19.686185	21.332670	0.329658	0.460019	0.587980	0.929430	43.771508		
cpython-3.8/Lib/distutils/tests/test_install_lib.py	3974	ok	17.921362	19.912009	19.686556	21.303913	0.397699	0.462098	0.597412	1.088193	43.090446		
cpython-3.8/Lib/distutils/tests/test_install_scripts.py	2625	ok	17.810914	20.292937	19.948841	21.732455	0.472254	0.982672	1.071144	2.614177	20.650780		
cpython-3.8/Lib/distutils/tests/test_log.py	1864	ok	17.637570	20.161616	19.854194	21.655511	0.389328	0.455139	0.577478	0.863054	44.297663		
cpython-3.8/Lib/distutils/tests/test_msvc9compiler.py	6038	ok	18.189806	19.224841	19.358002	21.665412	0.401390	0.697774	0.713946	1.039317	27.551656		
cpython-3.8/Lib/distutils/tests/test_msvccompiler.py	2845	ok	18.975455	19.537431	19.873036	20.940134	0.401857	0.480634	0.641134	1.252014	40.649302		
cpython-3.8/Lib/distutils/tests/test_register.py	9765	ok	18.532246	20.367830	20.410193	22.482999	0.543426	0.586732	0.723962	1.379546	34.714042		
cpython-3.8/Lib/distutils/tests/test_sdist.py	17047	ok	20.596824	21.152852	21.324918	22.742174	0.706631	0.823596	1.023337	1.616855	25.683536		
cpython-3.8/Lib/distutils/tests/test_spawn.py	5666	ok	18.093352	19.158136	19.755323	22.178540	0.385035	0.513125	0.659882	1.007491	37.336230		
cpython-3.8/Lib/distutils/tests/test_sysconfig.py	11045	ok	18.928726	19.916616	20.536591	22.397249	0.568307	0.726120	0.877509	1.307043	27.428821		
cpython-3.8/Lib/distutils/tests/test_text_file.py	3436	ok	18.415042	19.224679	19.460970	21.348445	0.394215	0.974159	1.023113	2.857089	19.734636		
cpython-3.8/Lib/distutils/tests/test_unixccompiler.py	4628	ok	19.077043	19.913564	19.948288	21.040790	0.455303	0.626391	0.700970	1.157361	31.790951		
cpython-3.8/Lib/distutils/tests/test_upload.py	6535	ok	19.373673	20.167258	20.163464	20.771498	0.489625	0.538754	0.639831	1.239267	37.433129		
cpython-3.8/Lib/distutils/tests/test_util.py	11572	ok	19.216917	19.651966	20.171299	21.738309	0.561913	1.008105	1.089602	2.385242	19.493972		
